"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"";"FFC_1MM_20POS_DIRECT";"FFC_1MM_20POS_DIRECT";"JP701";"1mm-pitch, 20-position FFC glued and soldered directly to the PCB.";"";
"1";"";"M041.27MM";"1X04-1.27MM";"JP401";"Header 4";"";
"1";"";"TXB0104PWR";"TSSOP14";"U301";"4-Bit Bi-Directional Level Shifter";"";
"1";"0.01µF";"C-USC0603";"C0603";"C301";"CAPACITOR, American symbol";"";
"12";"0.1µF";"C-USC0603";"C0603";"C213, C601, C602, C603, C604, C607, C608, C802, C803, C804, C805, C806";"CAPACITOR, American symbol";"";
"1";"0.47µH";"C-USC1210";"C1210";"C217";"CAPACITOR, American symbol";"";
"1";"100nF";"C-USC0603";"C0603";"C201";"CAPACITOR, American symbol";"";
"1";"100Ω";"R-US_R0603";"R0603";"R812";"RESISTOR, American symbol";"";
"2";"105kΩ";"R-US_R0603";"R0603";"R205, R215";"RESISTOR, American symbol";"";
"10";"10kΩ";"R-US_R0603";"R0603";"R207, R210, R301, R405, R806, R807, R808, R809, R810, R811";"RESISTOR, American symbol";"";
"1";"10kΩ 0.1% 250mW";"R-US_R0805";"R0805";"R213";"RESISTOR, American symbol";"";
"3";"10pF";"C-USC0603";"C0603";"C206, C207, C214";"CAPACITOR, American symbol";"";
"3";"10µF";"C-USC0805";"C0805";"C202, C203, C210";"CAPACITOR, American symbol";"";
"1";"121kΩ";"R-US_R0603";"R0603";"R216";"RESISTOR, American symbol";"";
"1";"12401548E4#2A";"12401548E4#2A";"12401548E4#2A";"CN801";"Amphenol USB C receptacle, surface-mount and through-hole pins";"";
"1";"12kΩ";"R-US_R0603";"R0603";"R401";"RESISTOR, American symbol";"";
"2";"12pF";"C-USC0603";"C0603";"C403, C404";"CAPACITOR, American symbol";"";
"1";"15kΩ";"R-US_R0603";"R0603";"R211";"RESISTOR, American symbol";"";
"1";"16.9kΩ";"R-US_R0603";"R0603";"R203";"RESISTOR, American symbol";"";
"1";"16MHz";"CRYSTAL-SHIELDED";"CRYSTAL-SMD-5X3";"Y601";"";"";
"1";"1MΩ";"R-US_R0603";"R0603";"R801";"RESISTOR, American symbol";"";
"1";"1kΩ";"R-US_R0603";"R0603";"R208";"RESISTOR, American symbol";"";
"4";"1µF";"C-USC0603";"C0603";"C204, C205, C401, C402";"CAPACITOR, American symbol";"";
"1";"1µF";"C-USC0805";"C0805";"C212";"CAPACITOR, American symbol";"";
"3";"2.2µF";"C-USC0603";"C0603";"C211, C605, C606";"CAPACITOR, American symbol";"";
"2";"2.2µH";"CDRH4D22/HP";"CDRH4D22/HP";"L201, L205";"Sumida low-DCR shielded inductor";"";
"1";"200kΩ";"R-US_R0603";"R0603";"R302";"RESISTOR, American symbol";"";
"2";"220Ω";"R-US_R0603";"R0603";"R402, R403";"RESISTOR, American symbol";"";
"1";"22pF";"C-USC0805";"C0805";"C216";"CAPACITOR, American symbol";"";
"4";"22µH";"C-USC1210";"C1210";"C208, C209, C219, C801";"CAPACITOR, American symbol";"";
"1";"22µH";"SUMIDA_CDPH4D19F";"CDPH4D19F";"L204";"Low-profile shielded inductor, proprietary footprint, useful for low-current switching regulators";"";
"1";"22Ω";"R-US_R0603";"R0603";"R404";"RESISTOR, American symbol";"";
"1";"22Ω 1/2W?";"R-US_R0805";"R0805";"R303";"RESISTOR, American symbol";"";
"1";"280kΩ 0.1%";"R-US_R0603";"R0603";"R212";"RESISTOR, American symbol";"";
"1";"3.01kΩ";"R-US_R0603";"R0603";"R209";"RESISTOR, American symbol";"";
"1";"3.3µH";"CDRH6D12";"CDRH6D12";"L202";"Sumida low-profile shielded inductor";"";
"1";"3.61kΩ";"R-US_R0603";"R0603";"R206";"RESISTOR, American symbol";"";
"2";"324kΩ";"R-US_R0603";"R0603";"R204, R214";"RESISTOR, American symbol";"";
"1";"32kHz";"FC-12M";"FC-12M";"Q401";"kHz RANGE CRYSTAL UNIT";"";
"1";"32kHz 12pF";"FC-12M";"FC-12M";"Q601";"kHz RANGE CRYSTAL UNIT";"";
"1";"330pF";"C-USC0603";"C0603";"C215";"CAPACITOR, American symbol";"";
"1";"33pF";"C-USC0603";"C0603";"C218";"CAPACITOR, American symbol";"";
"2";"33Ω";"R-US_R0603";"R0603";"R803, R804";"RESISTOR, American symbol";"";
"4";"4.7kΩ";"R-US_R0603";"R0603";"R602, R603, R604, R605";"RESISTOR, American symbol";"";
